COUNTY_NAME,C,D,G,L,N,None,R,S
ADAMS,0,1353,0,9,0,12094,4298,0
LAWRENCE,0,3066,3,9,0,36507,8586,0
TRUMBULL,0,31744,21,65,0,98341,14461,0
ASHLAND,0,1445,1,22,0,25230,7688,0
ERIE,0,9581,18,36,0,35898,7774,0
MONROE,0,2400,0,7,0,6167,1157,0
PIKE,0,1953,0,18,0,13986,2334,0
SHELBY,3,2290,3,25,17,22390,8423,0
CHAMPAIGN,8,1456,8,30,0,17376,6840,0
SUMMIT,11,36682,37,139,0,278750,43333,0
PUTNAM,0,2293,3,17,0,15586,5795,0
HAMILTON,0,35369,209,530,0,428630,84093,0
ASHTABULA,0,9552,13,48,0,42543,9436,0
MERCER,0,1895,1,6,0,20289,7393,0
LAKE,0,17867,87,233,0,107266,28427,0
WILLIAMS,0,1799,3,20,0,15336,7816,0
ROSS,0,4228,3,24,0,31794,6983,0
MAHONING,0,41701,79,73,0,110700,14968,0
HARDIN,0,1326,2,14,0,11942,4896,0
CARROLL,0,1589,4,15,0,13171,3510,0
MONTGOMERY,2,25265,68,268,0,292163,57737,0
GREENE,1,8208,38,156,0,75216,28800,0
COLUMBIANA,0,7031,6,33,0,47329,11443,0
JACKSON,0,958,0,21,0,15278,5434,0
LUCAS,0,39592,351,568,0,244040,28665,0
UNION,0,1145,7,36,0,25883,7628,0
WASHINGTON,0,3938,6,35,0,29766,8629,0
WAYNE,0,4076,10,39,0,51961,17194,0
HENRY,1,1616,5,15,0,12143,5584,0
WARREN,0,4345,30,165,0,111235,33119,0
CLINTON,0,842,2,9,0,17636,7812,0
RICHLAND,0,6840,14,26,0,66102,16119,0
SANDUSKY,2,9001,3,26,0,20306,10397,0
OTTAWA,0,4535,8,22,0,20097,4893,0
WOOD,0,6951,106,266,0,67289,15668,0
FULTON,0,2388,15,79,0,18729,7934,0
AUGLAIZE,0,1461,10,18,0,21982,8127,0
GEAUGA,0,5019,45,104,0,41044,18360,0
HIGHLAND,0,1611,2,5,0,16736,7849,0
CRAWFORD,0,2799,7,12,0,19212,6387,0
SENECA,0,3279,1,20,0,23484,8526,0
MEIGS,0,1382,3,6,0,9720,4247,0
DEFIANCE,0,2648,6,47,0,16281,6665,0
GALLIA,0,1418,4,5,0,12770,4930,0
JEFFERSON,0,12883,3,24,0,28521,7154,0
KNOX,0,2238,9,51,0,27062,10297,0
BROWN,0,2476,2,17,0,19438,5848,0
DELAWARE,0,5801,42,190,0,87964,28937,0
FAYETTE,1,831,3,9,0,11322,4069,0
GUERNSEY,0,2777,0,41,0,16473,4653,0
VANWERT,1,759,2,5,0,13214,5974,0
VINTON,0,1047,2,3,0,6039,1438,0
PICKAWAY,1,3559,3,19,0,21754,7888,0
COSHOCTON,0,1833,7,3,0,16510,4539,0
MIAMI,10,3289,6,60,0,48878,19437,0
HANCOCK,0,2000,3,22,0,34476,14177,0
LICKING,0,8263,53,252,0,80272,24763,0
FAIRFIELD,0,6724,10,49,0,70384,21407,0
HARRISON,0,1898,0,3,0,6418,1945,0
HOCKING,0,1782,4,16,0,13687,2756,0
PREBLE,13,1572,3,30,0,18106,8142,0
SCIOTO,0,5149,7,6,0,34667,7450,0
PAULDING,0,1100,0,22,0,8936,2880,0
BELMONT,0,9872,9,27,0,34333,5363,0
FRANKLIN,2,81308,693,2547,0,625018,104391,0
MORGAN,0,756,2,4,0,5720,2340,0
HURON,0,2885,3,23,0,26498,6301,0
DARKE,2,2232,7,32,0,21084,10546,0
PERRY,0,2688,0,16,0,15941,3780,0
TUSCARAWAS,0,7652,4,38,0,42031,9350,0
WYANDOT,0,908,0,10,0,11081,3368,0
CLERMONT,0,4344,17,107,0,100424,30120,0
LORAIN,0,32170,64,208,0,147143,25305,0
ATHENS,0,7871,10,14,0,32557,3178,0
MORROW,0,1722,0,11,0,17150,5332,0
BUTLER,34,8866,54,337,0,184129,45160,0
ALLEN,0,4813,19,91,0,44993,17048,0
HOLMES,0,708,3,7,0,12970,4402,0
PORTAGE,0,14257,54,110,0,75364,15492,0
STARK,0,27869,13,93,0,183844,39538,1
MARION,0,3679,10,59,0,28056,8065,0
MEDINA,0,10638,38,215,0,87338,25167,0
MUSKINGUM,0,3520,14,41,0,37061,13295,0
NOBLE,0,1266,0,7,0,5015,1998,0
MADISON,0,1565,4,24,0,15994,6490,0
CUYAHOGA,0,166513,374,850,0,627668,88506,0
CLARK,15,7099,25,52,0,61191,20202,0
LOGAN,11,1312,4,47,0,20837,8426,0
